date,round,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff,is_allstar
2025-10-03,Pre-season,New York Knicks,Philadelphia 76ers,99,84,1.37,3.05,False,True,183,15,False
2025-10-04,Pre-season,Los Angeles Lakers,Phoenix Suns,81,103,2.3,1.6,False,False,184,-22,False
2025-10-05,Pre-season,Miami Heat,Orlando Magic,118,126,2.54,1.5,False,False,244,-8,False
2025-10-05,Pre-season,Denver Nuggets,Minnesota Timberwolves,116,126,1.57,2.38,False,False,242,-10,False
2025-10-05,Pre-season,Philadelphia 76ers,New York Knicks,104,113,3.08,1.36,False,False,217,-9,False
2025-10-06,Pre-season,Charlotte Hornets,Oklahoma City Thunder,114,135,2.34,1.58,False,False,249,-21,False
2025-10-06,Pre-season,Golden State Warriors,Los Angeles Lakers,111,103,1.32,3.28,False,True,214,8,False
2025-10-07,Pre-season,Toronto Raptors,Denver Nuggets,108,112,1.75,2.04,False,False,220,-4,False
2025-10-07,Pre-season,Miami Heat,Milwaukee Bucks,93,103,1.56,2.35,False,False,196,-10,False
2025-10-07,Pre-season,Dallas Mavericks,Oklahoma City Thunder,106,89,1.45,2.67,False,True,195,17,False
2025-10-07,Pre-season,Houston Rockets,Atlanta Hawks,122,113,1.59,2.3,False,True,235,9,False
2025-10-07,Pre-season,Memphis Grizzlies,Detroit Pistons,112,128,2.5,1.51,False,False,240,-16,False
2025-10-08,Pre-season,Cleveland Cavaliers,Chicago Bulls,117,118,1.28,3.57,False,False,235,-1,False
2025-10-08,Pre-season,Minnesota Timberwolves,Indiana Pacers,134,135,1.4,2.86,True,False,269,-1,False
2025-10-09,Pre-season,Miami Heat,San Antonio Spurs,107,112,1.74,2.06,False,False,219,-5,False
2025-10-09,Pre-season,Houston Rockets,Utah Jazz,140,127,1.19,4.54,False,True,267,13,False
2025-10-09,Pre-season,Memphis Grizzlies,Boston Celtics,103,121,2.25,1.63,False,False,224,-18,False
2025-10-09,Pre-season,Sacramento Kings,Toronto Raptors,122,130,1.81,1.96,False,False,252,-8,False
2025-10-09,Pre-season,Golden State Warriors,Portland Trail Blazers,129,123,1.38,3.0,False,True,252,6,False
2025-10-10,Pre-season,Phoenix Suns,Brooklyn Nets,132,127,1.43,2.75,True,True,259,5,False
2025-10-10,Pre-season,New York Knicks,Minnesota Timberwolves,100,95,1.49,2.57,True,True,195,5,False
2025-10-10,Pre-season,Oklahoma City Thunder,Charlotte Hornets,122,116,1.2,4.39,False,True,238,6,False
2025-10-10,Pre-season,Chicago Bulls,Cleveland Cavaliers,119,112,2.58,1.5,False,True,231,7,False
2025-10-10,Pre-season,Milwaukee Bucks,Detroit Pistons,117,111,2.77,1.44,False,True,228,6,False
2025-10-11,Pre-season,Philadelphia 76ers,Orlando Magic,98,128,2.85,1.41,False,False,226,-30,False
2025-10-11,Pre-season,Toronto Raptors,Boston Celtics,107,105,2.15,1.67,False,True,212,2,False
2025-10-11,Pre-season,San Antonio Spurs,Utah Jazz,134,130,1.36,3.07,True,True,264,4,False
2025-10-11,Pre-season,Portland Trail Blazers,Sacramento Kings,124,123,1.66,2.18,False,True,247,1,False
2025-10-12,Pre-season,Dallas Mavericks,Charlotte Hornets,116,120,1.33,3.23,False,False,236,-4,False
2025-10-12,Pre-season,Phoenix Suns,Brooklyn Nets,109,111,1.52,2.47,False,False,220,-2,False
2025-10-12,Pre-season,Indiana Pacers,Oklahoma City Thunder,116,101,1.9,1.86,False,True,217,15,False
2025-10-12,Pre-season,Memphis Grizzlies,Atlanta Hawks,116,122,2.74,1.44,False,False,238,-6,False
2025-10-13,Pre-season,Orlando Magic,Miami Heat,120,104,1.5,2.54,False,True,224,16,False
2025-10-13,Pre-season,Los Angeles Clippers,Denver Nuggets,94,102,1.61,2.26,False,False,196,-8,False
2025-10-13,Pre-season,Los Angeles Lakers,Golden State Warriors,126,116,1.76,2.02,False,True,242,10,False
2025-10-13,Pre-season,Washington Wizards,Toronto Raptors,112,113,2.51,1.51,False,False,225,-1,False
2025-10-13,Pre-season,Boston Celtics,Cleveland Cavaliers,138,107,1.36,3.06,False,True,245,31,False
2025-10-13,Pre-season,Chicago Bulls,Milwaukee Bucks,121,127,1.94,1.83,False,False,248,-6,False
2025-10-14,Pre-season,Indiana Pacers,San Antonio Spurs,108,124,1.69,2.13,False,False,232,-16,False
2025-10-14,Pre-season,New York Knicks,Washington Wizards,103,120,1.5,2.55,False,False,223,-17,False
2025-10-14,Pre-season,Atlanta Hawks,Miami Heat,119,118,2.29,1.61,True,True,237,1,False
2025-10-14,Pre-season,Utah Jazz,Dallas Mavericks,101,114,2.3,1.6,False,False,215,-13,False
2025-10-15,Pre-season,New Orleans Pelicans,Houston Rockets,128,130,2.87,1.41,False,False,258,-2,False
2025-10-15,Pre-season,Portland Trail Blazers,Golden State Warriors,111,118,2.0,1.78,False,False,229,-7,False
2025-10-15,Pre-season,Phoenix Suns,Los Angeles Lakers,113,104,3.83,1.25,False,True,217,9,False
2025-10-15,Pre-season,Cleveland Cavaliers,Detroit Pistons,118,100,1.33,3.24,False,True,218,18,False
2025-10-15,Pre-season,Denver Nuggets,Chicago Bulls,124,117,1.48,2.61,False,True,241,7,False
2025-10-15,Pre-season,Milwaukee Bucks,Oklahoma City Thunder,112,116,2.72,1.45,False,False,228,-4,False
2025-10-16,Pre-season,Charlotte Hornets,Memphis Grizzlies,145,116,1.7,2.12,False,True,261,29,False
2025-10-16,Pre-season,Boston Celtics,Toronto Raptors,110,108,1.56,2.4,False,True,218,2,False
2025-10-16,Pre-season,Sacramento Kings,Los Angeles Clippers,91,109,2.51,1.52,False,False,200,-18,False
2025-10-16,Pre-season,Los Angeles Lakers,Dallas Mavericks,94,121,3.43,1.3,False,False,215,-27,False
2025-10-17,Pre-season,Chicago Bulls,Minnesota Timberwolves,126,120,2.84,1.41,False,True,246,6,False
2025-10-17,Pre-season,Orlando Magic,New Orleans Pelicans,132,125,1.32,3.31,False,True,257,7,False
2025-10-17,Pre-season,Utah Jazz,Portland Trail Blazers,132,129,2.14,1.69,False,True,261,3,False
2025-10-17,Pre-season,Atlanta Hawks,Houston Rockets,115,133,1.35,3.13,False,False,248,-18,False
2025-10-17,Pre-season,Detroit Pistons,Washington Wizards,119,98,1.43,2.78,False,True,217,21,False
2025-10-18,Pre-season,Oklahoma City Thunder,Denver Nuggets,94,91,1.26,3.76,False,True,185,3,False
2025-10-18,Pre-season,Golden State Warriors,Los Angeles Clippers,103,106,1.57,2.37,False,False,209,-3,False
2025-10-18,Pre-season,Philadelphia 76ers,Minnesota Timberwolves,126,110,1.34,3.16,False,True,236,16,False
2025-10-18,Pre-season,Toronto Raptors,Brooklyn Nets,119,114,1.38,2.96,False,True,233,5,False
2025-10-18,Pre-season,New York Knicks,Charlotte Hornets,113,108,1.42,2.79,False,True,221,5,False
2025-10-18,Pre-season,Miami Heat,Memphis Grizzlies,125,141,1.6,2.3,False,False,266,-16,False
