date,round,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff
2016-10-05,Pre-season,Washington Wizards,Miami Heat,95,106,1.51,2.56,False,False,201,-11
2016-10-05,Pre-season,Golden State Warriors,Los Angeles Clippers,120,75,1.41,2.91,False,True,195,45
2016-10-05,Pre-season,Los Angeles Lakers,Sacramento Kings,103,84,1.66,2.22,False,True,187,19
2016-10-05,Pre-season,Philadelphia 76ers,Boston Celtics,92,89,3.05,1.37,False,True,181,3
2016-10-05,Pre-season,New Orleans Pelicans,Indiana Pacers,96,113,1.48,2.62,False,False,209,-17
2016-10-05,Pre-season,Houston Rockets,New York Knicks,130,103,1.6,2.35,False,True,233,27
2016-10-06,Pre-season,Phoenix Suns,Utah Jazz,99,104,2.32,1.63,False,False,203,-5
2016-10-06,Pre-season,Cleveland Cavaliers,Orlando Magic,117,102,1.48,2.68,False,True,219,15
2016-10-06,Pre-season,Los Angeles Clippers,Toronto Raptors,104,98,1.69,2.2,False,True,202,6
2016-10-07,Pre-season,Philadelphia 76ers,Washington Wizards,119,125,2.33,1.64,True,False,244,-6
2016-10-07,Pre-season,Indiana Pacers,Chicago Bulls,115,108,1.57,2.5,False,True,223,7
2016-10-07,Pre-season,Brooklyn Nets,Detroit Pistons,101,94,2.48,1.57,False,True,195,7
2016-10-07,Pre-season,Charlotte Hornets,Boston Celtics,92,107,2.59,1.53,False,False,199,-15
2016-10-07,Pre-season,Memphis Grizzlies,Atlanta Hawks,83,104,1.6,2.42,False,False,187,-21
2016-10-07,Pre-season,Golden State Warriors,Sacramento Kings,105,96,1.14,6.19,False,True,201,9
2016-10-08,Pre-season,Portland Trail Blazers,Phoenix Suns,115,110,1.51,2.68,False,True,225,5
2016-10-08,Pre-season,Los Angeles Lakers,Denver Nuggets,97,101,1.61,2.4,False,False,198,-4
2016-10-09,Pre-season,Houston Rockets,New Orleans Pelicans,123,117,1.5,2.58,False,True,240,6
2016-10-09,Pre-season,San Antonio Spurs,Atlanta Hawks,102,91,1.51,2.66,False,True,193,11
2016-10-09,Pre-season,Milwaukee Bucks,Dallas Mavericks,88,74,1.59,2.46,False,True,162,14
2016-10-09,Pre-season,Cleveland Cavaliers,Philadelphia 76ers,108,105,1.36,3.27,False,True,213,3
2016-10-09,Pre-season,Chicago Bulls,Indiana Pacers,121,105,1.54,2.58,False,True,226,16
2016-10-09,Pre-season,New York Knicks,Brooklyn Nets,116,98,1.51,2.67,False,True,214,18
2016-10-09,Pre-season,Miami Heat,Minnesota Timberwolves,100,109,2.12,1.77,False,False,209,-9
2016-10-09,Pre-season,Boston Celtics,Charlotte Hornets,104,86,1.59,2.45,False,True,190,18
2016-10-10,Pre-season,Los Angeles Lakers,Denver Nuggets,124,115,1.52,2.6,False,True,239,9
2016-10-11,Pre-season,Atlanta Hawks,Cleveland Cavaliers,99,93,1.28,3.72,False,True,192,6
2016-10-11,Pre-season,Los Angeles Clippers,Utah Jazz,94,96,1.33,3.35,False,False,190,-2
2016-10-11,Pre-season,Detroit Pistons,San Antonio Spurs,81,86,1.68,2.21,False,False,167,-5
2016-10-11,Pre-season,Charlotte Hornets,Minnesota Timberwolves,98,86,1.55,2.49,False,True,184,12
2016-10-11,Pre-season,New York Knicks,Washington Wizards,90,88,1.56,2.47,False,True,178,2
2016-10-12,Pre-season,Miami Heat,Brooklyn Nets,121,100,1.44,2.81,False,True,221,21
2016-10-12,Pre-season,Memphis Grizzlies,Philadelphia 76ers,121,91,1.45,2.78,False,True,212,30
2016-10-12,Pre-season,Dallas Mavericks,Oklahoma City Thunder,114,109,1.66,2.25,False,True,223,5
2016-10-12,Pre-season,Los Angeles Lakers,Portland Trail Blazers,106,109,2.44,1.58,True,False,215,-3
2016-10-12,Pre-season,New Orleans Pelicans,Houston Rockets,104,116,3.07,1.39,False,False,220,-12
2016-10-13,Pre-season,Minnesota Timberwolves,Denver Nuggets,105,88,1.46,2.73,False,True,193,17
2016-10-13,Pre-season,Utah Jazz,Phoenix Suns,110,111,1.49,2.67,False,False,221,-1
2016-10-13,Pre-season,Orlando Magic,San Antonio Spurs,89,95,2.24,1.65,False,False,184,-6
2016-10-13,Pre-season,Indiana Pacers,Milwaukee Bucks,101,83,1.45,2.8,False,True,184,18
2016-10-14,Pre-season,Washington Wizards,Philadelphia 76ers,100,79,1.44,2.81,False,True,179,21
2016-10-14,Pre-season,Brooklyn Nets,Boston Celtics,97,100,2.71,1.47,False,False,197,-3
