date,round,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff,is_allstar
2022-09-30,Pre-season,Washington Wizards,Golden State Warriors,87,96,2.44,1.54,False,False,183,-9,False
2022-10-02,Pre-season,Milwaukee Bucks,Memphis Grizzlies,102,107,1.46,2.69,False,False,209,-5,False
2022-10-02,Pre-season,Washington Wizards,Golden State Warriors,95,104,2.31,1.6,False,False,199,-9,False
2022-10-03,Pre-season,Houston Rockets,San Antonio Spurs,134,96,1.54,2.46,False,True,230,38,False
2022-10-03,Pre-season,Boston Celtics,Charlotte Hornets,134,93,1.37,3.03,False,True,227,41,False
2022-10-03,Pre-season,Toronto Raptors,Utah Jazz,114,82,1.41,2.88,False,True,196,32,False
2022-10-04,Pre-season,Brooklyn Nets,Philadelphia 76ers,108,127,1.29,3.56,False,False,235,-19,False
2022-10-04,Pre-season,Memphis Grizzlies,Orlando Magic,109,97,1.29,3.55,False,True,206,12,False
2022-10-04,Pre-season,Denver Nuggets,Oklahoma City Thunder,101,112,1.23,4.14,False,False,213,-11,False
2022-10-04,Pre-season,Los Angeles Lakers,Sacramento Kings,75,105,1.44,2.72,False,False,180,-30,False
2022-10-04,Pre-season,Los Angeles Clippers,Portland Trail Blazers,102,97,1.33,3.31,False,True,199,5,False
2022-10-05,Pre-season,New York Knicks,Detroit Pistons,117,96,1.51,2.55,False,True,213,21,False
2022-10-05,Pre-season,Chicago Bulls,New Orleans Pelicans,125,129,1.68,2.19,False,False,254,-4,False
2022-10-05,Pre-season,Portland Trail Blazers,Utah Jazz,101,118,1.84,1.93,False,False,219,-17,False
2022-10-05,Pre-season,Miami Heat,Minnesota Timberwolves,111,121,1.43,2.77,False,False,232,-10,False
2022-10-06,Pre-season,Philadelphia 76ers,Cleveland Cavaliers,113,112,1.48,2.64,False,True,225,1,False
2022-10-06,Pre-season,Charlotte Hornets,Indiana Pacers,97,122,2.14,1.68,False,False,219,-25,False
2022-10-06,Pre-season,Boston Celtics,Toronto Raptors,119,125,1.53,2.47,True,False,244,-6,False
2022-10-06,Pre-season,Oklahoma City Thunder,Dallas Mavericks,96,98,2.54,1.51,False,False,194,-2,False
2022-10-06,Pre-season,Los Angeles Lakers,Phoenix Suns,115,119,2.65,1.47,False,False,234,-4,False
2022-10-07,Pre-season,Los Angeles Lakers,Minnesota Timberwolves,99,114,3.65,1.27,False,False,213,-15,False
2022-10-07,Pre-season,San Antonio Spurs,Orlando Magic,99,102,2.36,1.57,False,False,201,-3,False
2022-10-07,Pre-season,Atlanta Hawks,Milwaukee Bucks,123,113,1.84,1.92,False,True,236,10,False
2022-10-07,Pre-season,Brooklyn Nets,Miami Heat,80,109,1.58,2.36,False,False,189,-29,False
2022-10-08,Pre-season,New York Knicks,Indiana Pacers,131,114,1.49,2.57,False,True,245,17,False
2022-10-08,Pre-season,Charlotte Hornets,Boston Celtics,103,112,2.78,1.43,False,False,215,-9,False
2022-10-08,Pre-season,Memphis Grizzlies,Miami Heat,108,111,1.23,4.08,False,False,219,-3,False
2022-10-08,Pre-season,Houston Rockets,Toronto Raptors,116,100,2.87,1.4,False,True,216,16,False
2022-10-08,Pre-season,New Orleans Pelicans,Detroit Pistons,107,101,1.51,2.53,False,True,208,6,False
2022-10-08,Pre-season,Chicago Bulls,Denver Nuggets,131,113,1.54,2.45,False,True,244,18,False
2022-10-08,Pre-season,Dallas Mavericks,Orlando Magic,105,110,1.32,3.32,False,False,215,-5,False
2022-10-09,Pre-season,Milwaukee Bucks,Atlanta Hawks,109,118,1.73,2.08,False,False,227,-9,False
2022-10-10,Pre-season,Los Angeles Clippers,Minnesota Timberwolves,117,119,1.45,2.69,False,False,236,-2,False
2022-10-10,Pre-season,Sacramento Kings,Portland Trail Blazers,126,94,1.68,2.17,False,True,220,32,False
2022-10-10,Pre-season,Toronto Raptors,Chicago Bulls,98,115,1.65,2.21,False,False,213,-17,False
2022-10-10,Pre-season,San Antonio Spurs,New Orleans Pelicans,97,111,3.23,1.33,False,False,208,-14,False
2022-10-10,Pre-season,Golden State Warriors,Los Angeles Lakers,121,124,1.33,3.26,False,False,245,-3,False
2022-10-11,Pre-season,Cleveland Cavaliers,Philadelphia 76ers,97,113,1.53,2.47,False,False,210,-16,False
2022-10-11,Pre-season,Charlotte Hornets,Washington Wizards,107,116,1.54,2.42,False,False,223,-9,False
2022-10-11,Pre-season,Miami Heat,Houston Rockets,118,110,2.03,1.76,False,True,228,8,False
2022-10-11,Pre-season,Denver Nuggets,Phoenix Suns,107,105,2.7,1.44,False,True,212,2,False
2022-10-12,Pre-season,Golden State Warriors,Portland Trail Blazers,131,98,1.7,2.14,False,True,229,33,False
2022-10-12,Pre-season,Utah Jazz,San Antonio Spurs,104,111,1.63,2.24,False,False,215,-7,False
2022-10-12,Pre-season,Detroit Pistons,Oklahoma City Thunder,99,115,1.44,2.68,False,False,214,-16,False
2022-10-12,Pre-season,Chicago Bulls,Milwaukee Bucks,127,104,1.38,2.98,False,True,231,23,False
2022-10-12,Pre-season,Orlando Magic,Memphis Grizzlies,109,105,3.16,1.35,False,True,214,4,False
2022-10-13,Pre-season,Indiana Pacers,New York Knicks,109,100,2.57,1.49,False,True,209,9,False
2022-10-13,Pre-season,Philadelphia 76ers,Charlotte Hornets,99,94,1.24,3.9,False,True,193,5,False
2022-10-13,Pre-season,Cleveland Cavaliers,Atlanta Hawks,105,99,1.76,2.02,False,True,204,6,False
2022-10-13,Pre-season,Miami Heat,New Orleans Pelicans,120,103,1.55,2.44,False,True,223,17,False
2022-10-13,Pre-season,Milwaukee Bucks,Brooklyn Nets,97,107,1.61,2.28,False,False,204,-10,False
2022-10-13,Pre-season,Phoenix Suns,Sacramento Kings,104,105,1.92,1.86,False,False,209,-1,False
2022-10-13,Pre-season,Los Angeles Lakers,Minnesota Timberwolves,113,118,1.48,2.62,False,False,231,-5,False
2022-10-13,Pre-season,Los Angeles Clippers,Denver Nuggets,115,126,1.58,2.32,False,False,241,-11,False
2022-10-14,Pre-season,Detroit Pistons,Memphis Grizzlies,111,126,2.89,1.39,False,False,237,-15,False
2022-10-14,Pre-season,San Antonio Spurs,Oklahoma City Thunder,112,118,1.87,1.9,False,False,230,-6,False
2022-10-15,Pre-season,Golden State Warriors,Denver Nuggets,112,119,1.43,2.78,False,False,231,-7,False
2022-10-15,Pre-season,Utah Jazz,Dallas Mavericks,101,115,3.06,1.36,False,False,216,-14,False
2022-10-15,Pre-season,Atlanta Hawks,New Orleans Pelicans,111,120,2.09,1.72,False,False,231,-9,False
2022-10-15,Pre-season,Sacramento Kings,Los Angeles Lakers,133,86,1.51,2.54,False,True,219,47,False
2022-10-15,Pre-season,Toronto Raptors,Boston Celtics,137,134,2.46,1.54,True,True,271,3,False
2022-10-15,Pre-season,New York Knicks,Washington Wizards,105,89,1.51,2.52,False,True,194,16,False
2022-10-15,Pre-season,Orlando Magic,Cleveland Cavaliers,114,108,1.59,2.33,False,True,222,6,False
