date,round,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff,is_allstar
2021-10-04,Pre-season,Los Angeles Lakers,Brooklyn Nets,97,123,1.64,2.31,False,False,220,-26,False
2021-10-05,Pre-season,Los Angeles Clippers,Denver Nuggets,103,102,2.17,1.7,False,True,205,1,False
2021-10-05,Pre-season,Portland Trail Blazers,Golden State Warriors,107,121,1.72,2.14,False,False,228,-14,False
2021-10-05,Pre-season,Sacramento Kings,Phoenix Suns,117,106,1.68,2.17,False,True,223,11,False
2021-10-05,Pre-season,San Antonio Spurs,Utah Jazz,111,85,2.33,1.61,False,True,196,26,False
2021-10-05,Pre-season,Toronto Raptors,Philadelphia 76ers,123,107,1.71,2.12,False,True,230,16,False
2021-10-05,Pre-season,Minnesota Timberwolves,New Orleans Pelicans,117,114,1.66,2.21,False,True,231,3,False
2021-10-05,Pre-season,Boston Celtics,Orlando Magic,98,97,1.34,3.26,False,True,195,1,False
2021-10-05,Pre-season,Oklahoma City Thunder,Charlotte Hornets,97,113,2.37,1.59,False,False,210,-16,False
2021-10-05,Pre-season,Miami Heat,Atlanta Hawks,125,99,1.64,2.28,False,True,224,26,False
2021-10-06,Pre-season,Chicago Bulls,Cleveland Cavaliers,131,95,1.45,2.75,False,True,226,36,False
2021-10-06,Pre-season,New York Knicks,Indiana Pacers,125,104,1.65,2.27,False,True,229,21,False
2021-10-06,Pre-season,Memphis Grizzlies,Milwaukee Bucks,87,77,1.4,2.99,False,True,164,10,False
2021-10-06,Pre-season,Houston Rockets,Washington Wizards,125,119,1.83,1.98,False,True,244,6,False
2021-10-07,Pre-season,Phoenix Suns,Los Angeles Lakers,117,105,1.66,2.22,False,True,222,12,False
2021-10-07,Pre-season,Detroit Pistons,San Antonio Spurs,115,105,2.24,1.65,False,True,220,10,False
2021-10-07,Pre-season,Atlanta Hawks,Cleveland Cavaliers,96,99,1.61,2.31,False,False,195,-3,False
2021-10-07,Pre-season,New Orleans Pelicans,Orlando Magic,104,86,1.65,2.24,False,True,190,18,False
2021-10-07,Pre-season,Golden State Warriors,Denver Nuggets,118,116,1.5,2.62,False,True,234,2,False
2021-10-07,Pre-season,Los Angeles Clippers,Sacramento Kings,98,113,1.83,1.99,False,False,211,-15,False
2021-10-07,Pre-season,Dallas Mavericks,Utah Jazz,111,101,1.45,2.77,False,True,212,10,False
2021-10-08,Pre-season,Philadelphia 76ers,Toronto Raptors,125,113,1.48,2.67,False,True,238,12,False
2021-10-08,Pre-season,Charlotte Hornets,Memphis Grizzlies,98,128,2.02,1.8,False,False,226,-30,False
2021-10-08,Pre-season,Houston Rockets,Miami Heat,106,113,2.82,1.44,False,False,219,-7,False
2021-10-09,Pre-season,Dallas Mavericks,Los Angeles Clippers,122,114,1.5,2.64,False,True,236,8,False
2021-10-09,Pre-season,Golden State Warriors,Los Angeles Lakers,121,114,1.63,2.31,False,True,235,7,False
2021-10-09,Pre-season,Denver Nuggets,Minnesota Timberwolves,112,114,1.57,2.43,True,False,226,-2,False
2021-10-09,Pre-season,San Antonio Spurs,Miami Heat,105,109,1.41,2.93,False,False,214,-4,False
2021-10-09,Pre-season,Brooklyn Nets,Milwaukee Bucks,119,115,1.2,4.62,False,True,234,4,False
2021-10-09,Pre-season,Chicago Bulls,New Orleans Pelicans,121,85,1.29,3.64,False,True,206,36,False
2021-10-09,Pre-season,Cleveland Cavaliers,Indiana Pacers,100,109,2.34,1.61,False,False,209,-9,False
2021-10-10,Pre-season,Washington Wizards,New York Knicks,99,117,1.9,1.9,False,False,216,-18,False
2021-10-10,Pre-season,Boston Celtics,Toronto Raptors,113,111,1.62,2.31,False,True,224,2,False
2021-10-10,Pre-season,Memphis Grizzlies,Atlanta Hawks,87,91,2.01,1.8,False,False,178,-4,False
2021-10-11,Pre-season,Orlando Magic,San Antonio Spurs,100,101,2.14,1.73,False,False,201,-1,False
2021-10-11,Pre-season,Cleveland Cavaliers,Chicago Bulls,101,102,3.59,1.3,False,False,203,-1,False
2021-10-11,Pre-season,Milwaukee Bucks,Oklahoma City Thunder,130,110,1.38,3.06,False,True,240,20,False
2021-10-11,Pre-season,Los Angeles Lakers,Phoenix Suns,94,123,2.12,1.74,False,False,217,-29,False
2021-10-12,Pre-season,Los Angeles Clippers,Minnesota Timberwolves,100,128,2.08,1.75,False,False,228,-28,False
2021-10-12,Pre-season,Toronto Raptors,Houston Rockets,107,92,1.43,2.83,False,True,199,15,False
2021-10-12,Pre-season,Miami Heat,Charlotte Hornets,104,103,1.28,3.73,False,True,207,1,False
2021-10-12,Pre-season,Memphis Grizzlies,Detroit Pistons,127,92,1.41,2.98,False,True,219,35,False
2021-10-12,Pre-season,Philadelphia 76ers,Brooklyn Nets,115,104,3.34,1.33,False,True,219,11,False
2021-10-12,Pre-season,Utah Jazz,New Orleans Pelicans,127,96,1.29,3.69,False,True,223,31,False
2021-10-12,Pre-season,Portland Trail Blazers,Sacramento Kings,93,107,3.39,1.32,False,False,200,-14,False
2021-10-13,Pre-season,Los Angeles Lakers,Golden State Warriors,99,111,1.33,3.31,False,False,210,-12,False
2021-10-13,Pre-season,Washington Wizards,Toronto Raptors,108,113,1.3,3.52,False,False,221,-5,False
2021-10-14,Pre-season,Utah Jazz,Milwaukee Bucks,124,120,1.59,2.41,False,True,244,4,False
