date,round,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff,is_allstar
2023-10-06,Pre-season,Minnesota Timberwolves,Dallas Mavericks,111,99,1.9,1.88,False,True,210,12,False
2023-10-08,Pre-season,Dallas Mavericks,Minnesota Timberwolves,96,104,2.3,1.62,False,False,200,-8,False
2023-10-08,Pre-season,Golden State Warriors,Los Angeles Lakers,125,108,1.56,2.41,False,True,233,17,False
2023-10-09,Pre-season,Milwaukee Bucks,Chicago Bulls,105,102,2.17,1.69,False,True,207,3,False
2023-10-09,Pre-season,Detroit Pistons,Phoenix Suns,126,130,2.66,1.48,True,False,256,-4,False
2023-10-09,Pre-season,Boston Celtics,Philadelphia 76ers,114,106,1.35,3.21,False,True,220,8,False
2023-10-09,Pre-season,Toronto Raptors,Sacramento Kings,112,99,1.86,1.93,False,True,211,13,False
2023-10-09,Pre-season,Memphis Grizzlies,Indiana Pacers,127,122,1.57,2.43,True,True,249,5,False
2023-10-09,Pre-season,Los Angeles Clippers,Utah Jazz,96,101,1.73,2.11,False,False,197,-5,False
2023-10-10,Pre-season,Oklahoma City Thunder,San Antonio Spurs,122,121,1.51,2.55,False,True,243,1,False
2023-10-10,Pre-season,Los Angeles Lakers,Brooklyn Nets,129,126,1.46,2.68,False,True,255,3,False
2023-10-10,Pre-season,New York Knicks,Boston Celtics,114,107,1.29,3.54,False,True,221,7,False
2023-10-11,Pre-season,Phoenix Suns,Denver Nuggets,107,115,2.35,1.59,False,False,222,-8,False
2023-10-11,Pre-season,Los Angeles Clippers,Utah Jazz,103,98,1.6,2.33,False,True,201,5,False
2023-10-11,Pre-season,Houston Rockets,Indiana Pacers,122,103,1.59,2.34,False,True,225,19,False
2023-10-11,Pre-season,Atlanta Hawks,Cleveland Cavaliers,108,107,1.77,2.03,False,True,215,1,False
2023-10-11,Pre-season,New Orleans Pelicans,Orlando Magic,105,122,1.53,2.49,False,False,227,-17,False
2023-10-11,Pre-season,Miami Heat,Charlotte Hornets,113,109,1.71,2.12,False,True,222,4,False
2023-10-11,Pre-season,Memphis Grizzlies,Milwaukee Bucks,108,102,1.59,2.34,False,True,210,6,False
2023-10-12,Pre-season,Philadelphia 76ers,Boston Celtics,101,112,2.26,1.64,False,False,213,-11,False
2023-10-12,Pre-season,Los Angeles Lakers,Sacramento Kings,109,101,2.6,1.49,False,True,210,8,False
2023-10-13,Pre-season,Cleveland Cavaliers,Orlando Magic,105,108,1.73,2.09,False,False,213,-3,False
2023-10-13,Pre-season,Atlanta Hawks,Memphis Grizzlies,103,102,1.6,2.34,False,True,205,1,False
2023-10-13,Pre-season,Oklahoma City Thunder,Detroit Pistons,125,128,1.38,3.07,False,False,253,-3,False
2023-10-13,Pre-season,Chicago Bulls,Denver Nuggets,133,124,1.72,2.1,True,True,257,9,False
2023-10-13,Pre-season,New Orleans Pelicans,Houston Rockets,87,120,1.66,2.24,False,False,207,-33,False
2023-10-13,Pre-season,Portland Trail Blazers,Phoenix Suns,111,122,2.65,1.47,False,False,233,-11,False
2023-10-13,Pre-season,Washington Wizards,Charlotte Hornets,98,92,1.68,2.16,False,True,190,6,False
2023-10-14,Pre-season,San Antonio Spurs,Miami Heat,120,104,1.3,3.44,False,True,224,16,False
2023-10-14,Pre-season,Los Angeles Lakers,Golden State Warriors,125,129,1.7,2.16,False,False,254,-4,False
2023-10-15,Pre-season,Atlanta Hawks,New Orleans Pelicans,110,105,1.9,1.91,False,True,215,5,False
2023-10-15,Pre-season,New York Knicks,Minnesota Timberwolves,112,121,1.59,2.38,False,False,233,-9,False
2023-10-15,Pre-season,Utah Jazz,Portland Trail Blazers,138,133,1.47,2.66,False,True,271,5,False
2023-10-16,Pre-season,Miami Heat,Memphis Grizzlies,132,124,1.97,1.82,False,True,256,8,False
2023-10-16,Pre-season,Charlotte Hornets,Oklahoma City Thunder,117,115,1.55,2.43,False,True,232,2,False
2023-10-16,Pre-season,Denver Nuggets,Chicago Bulls,116,102,1.35,3.17,False,True,218,14,False
2023-10-16,Pre-season,Sacramento Kings,Golden State Warriors,115,121,1.38,3.0,True,False,236,-6,False
