date,round,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff,is_allstar
2024-10-05,Pre-season,Denver Nuggets,Boston Celtics,103,107,2.0,1.79,False,False,210,-4,False
2024-10-05,Pre-season,Los Angeles Lakers,Minnesota Timberwolves,107,124,2.43,1.55,False,False,231,-17,False
2024-10-06,Pre-season,Los Angeles Clippers,Golden State Warriors,90,91,2.75,1.44,False,False,181,-1,False
2024-10-07,Pre-season,Boston Celtics,Denver Nuggets,130,104,1.7,2.15,False,True,234,26,False
2024-10-07,Pre-season,Charlotte Hornets,New York Knicks,109,111,2.31,1.61,False,False,220,-2,False
2024-10-07,Pre-season,Toronto Raptors,Washington Wizards,125,98,2.26,1.64,False,True,223,27,False
2024-10-07,Pre-season,Detroit Pistons,Milwaukee Bucks,120,87,1.61,2.32,False,True,207,33,False
2024-10-07,Pre-season,Los Angeles Lakers,Phoenix Suns,114,118,1.62,2.31,False,False,232,-4,False
2024-10-08,Pre-season,Utah Jazz,Houston Rockets,122,113,2.49,1.53,False,True,235,9,False
2024-10-08,Pre-season,Dallas Mavericks,Memphis Grizzlies,116,121,3.39,1.31,False,False,237,-5,False
2024-10-08,Pre-season,New Orleans Pelicans,Orlando Magic,106,104,1.92,1.89,False,True,210,2,False
2024-10-08,Pre-season,San Antonio Spurs,Oklahoma City Thunder,107,112,2.41,1.56,False,False,219,-5,False
2024-10-09,Pre-season,Charlotte Hornets,Miami Heat,111,108,1.78,2.04,False,True,219,3,False
2024-10-09,Pre-season,Los Angeles Clippers,Brooklyn Nets,115,106,1.46,2.74,False,True,221,9,False
2024-10-09,Pre-season,Atlanta Hawks,Indiana Pacers,131,130,2.03,1.78,False,True,261,1,False
2024-10-09,Pre-season,Cleveland Cavaliers,Chicago Bulls,112,116,1.53,2.5,False,False,228,-4,False
2024-10-09,Pre-season,Detroit Pistons,Phoenix Suns,97,105,1.59,2.35,False,False,202,-8,False
2024-10-10,Pre-season,Oklahoma City Thunder,Houston Rockets,113,122,1.37,3.03,True,False,235,-9,False
2024-10-10,Pre-season,Sacramento Kings,Golden State Warriors,112,122,1.57,2.38,False,False,234,-10,False
2024-10-10,Pre-season,New York Knicks,Washington Wizards,117,94,1.27,3.72,False,True,211,23,False
2024-10-10,Pre-season,San Antonio Spurs,Orlando Magic,107,97,1.9,1.88,False,True,204,10,False
2024-10-11,Pre-season,Cleveland Cavaliers,Indiana Pacers,117,129,2.71,1.46,False,False,246,-12,False
2024-10-11,Pre-season,Milwaukee Bucks,Los Angeles Lakers,102,107,1.52,2.53,False,False,209,-5,False
2024-10-11,Pre-season,Dallas Mavericks,Utah Jazz,102,107,1.48,2.64,False,False,209,-5,False
2024-10-11,Pre-season,Memphis Grizzlies,Charlotte Hornets,94,119,1.53,2.49,False,False,213,-25,False
2024-10-12,Pre-season,Minnesota Timberwolves,Philadelphia 76ers,121,111,1.63,2.29,False,True,232,10,False
2024-10-12,Pre-season,Washington Wizards,Toronto Raptors,113,95,1.84,1.96,False,True,208,18,False
2024-10-12,Pre-season,Golden State Warriors,Sacramento Kings,109,106,2.02,1.8,False,True,215,3,False
2024-10-12,Pre-season,Los Angeles Clippers,Portland Trail Blazers,101,99,1.56,2.46,False,True,200,2,False
2024-10-12,Pre-season,Phoenix Suns,Detroit Pistons,91,109,1.57,2.41,False,False,200,-18,False
2024-10-13,Pre-season,San Antonio Spurs,Utah Jazz,126,120,1.74,2.1,False,True,246,6,False
2024-10-13,Pre-season,Chicago Bulls,Memphis Grizzlies,121,124,1.74,2.11,False,False,245,-3,False
2024-10-13,Pre-season,Boston Celtics,Philadelphia 76ers,139,89,1.3,3.52,False,True,228,50,False
2024-10-14,Pre-season,Golden State Warriors,Detroit Pistons,111,93,1.8,2.01,False,True,204,18,False
2024-10-14,Pre-season,Boston Celtics,Toronto Raptors,115,111,1.95,1.85,False,True,226,4,False
2024-10-14,Pre-season,Denver Nuggets,Phoenix Suns,114,118,1.45,2.8,False,False,232,-4,False
2024-10-14,Pre-season,Sacramento Kings,Portland Trail Blazers,85,105,1.44,2.81,False,False,190,-20,False
2024-10-14,Pre-season,Miami Heat,New Orleans Pelicans,101,99,1.73,2.12,False,True,200,2,False
2024-10-14,Pre-season,New York Knicks,Minnesota Timberwolves,115,110,1.65,2.26,False,True,225,5,False
2024-10-15,Pre-season,Los Angeles Clippers,Dallas Mavericks,110,96,1.49,2.61,False,True,206,14,False
2024-10-15,Pre-season,Milwaukee Bucks,Chicago Bulls,111,107,1.41,2.89,False,True,218,4,False
2024-10-15,Pre-season,Brooklyn Nets,Washington Wizards,131,92,1.64,2.26,False,True,223,39,False
2024-10-15,Pre-season,Indiana Pacers,Memphis Grizzlies,116,120,1.51,2.58,False,False,236,-4,False
2024-10-15,Pre-season,Atlanta Hawks,Philadelphia 76ers,89,104,1.79,2.02,False,False,193,-15,False
2024-10-16,Pre-season,Denver Nuggets,Oklahoma City Thunder,94,124,2.82,1.42,False,False,218,-30,False
2024-10-16,Pre-season,Los Angeles Lakers,Golden State Warriors,97,111,2.17,1.7,False,False,208,-14,False
2024-10-16,Pre-season,Utah Jazz,Sacramento Kings,117,114,2.2,1.69,False,True,231,3,False
2024-10-16,Pre-season,New York Knicks,Charlotte Hornets,111,105,2.23,1.65,False,True,216,6,False
2024-10-16,Pre-season,Houston Rockets,New Orleans Pelicans,118,98,1.63,2.29,False,True,216,20,False
2024-10-16,Pre-season,Miami Heat,San Antonio Spurs,120,117,1.55,2.49,False,True,237,3,False
2024-10-16,Pre-season,Toronto Raptors,Boston Celtics,119,118,4.09,1.23,False,True,237,1,False
2024-10-17,Pre-season,Detroit Pistons,Cleveland Cavaliers,108,92,2.61,1.49,False,True,200,16,False
2024-10-17,Pre-season,Philadelphia 76ers,Brooklyn Nets,117,95,1.98,1.82,False,True,212,22,False
2024-10-17,Pre-season,Miami Heat,Atlanta Hawks,120,111,2.48,1.54,False,True,231,9,False
2024-10-17,Pre-season,Chicago Bulls,Minnesota Timberwolves,125,123,2.62,1.49,False,True,248,2,False
2024-10-18,Pre-season,Minnesota Timberwolves,Denver Nuggets,126,132,3.35,1.32,False,False,258,-6,False
2024-10-18,Pre-season,Indiana Pacers,Charlotte Hornets,121,116,1.47,2.72,True,True,237,5,False
2024-10-18,Pre-season,Dallas Mavericks,Milwaukee Bucks,109,84,1.46,2.77,False,True,193,25,False
2024-10-18,Pre-season,Houston Rockets,San Antonio Spurs,129,107,1.28,3.64,False,True,236,22,False
2024-10-18,Pre-season,Oklahoma City Thunder,Atlanta Hawks,104,99,1.3,3.55,False,True,203,5,False
2024-10-18,Pre-season,Phoenix Suns,Los Angeles Lakers,122,128,1.36,3.1,True,False,250,-6,False
2024-10-18,Pre-season,Los Angeles Clippers,Sacramento Kings,113,91,1.83,1.97,False,True,204,22,False
2024-10-19,Pre-season,Golden State Warriors,Los Angeles Lakers,132,74,1.23,4.13,False,True,206,58,False
2024-10-19,Pre-season,Orlando Magic,Philadelphia 76ers,114,99,1.32,3.33,False,True,213,15,False
2024-10-19,Pre-season,Washington Wizards,New York Knicks,118,117,4.72,1.19,False,True,235,1,False
2024-10-19,Pre-season,Brooklyn Nets,Toronto Raptors,112,116,1.77,2.05,False,False,228,-4,False
2024-10-19,Pre-season,Memphis Grizzlies,Miami Heat,109,114,1.26,3.83,False,False,223,-5,False
2024-10-19,Pre-season,Chicago Bulls,Cleveland Cavaliers,139,137,2.67,1.47,True,True,276,2,False
2024-10-19,Pre-season,Portland Trail Blazers,Utah Jazz,124,86,1.81,2.0,False,True,210,38,False
2024-10-23,,Boston Celtics,New York Knicks,132,109,1.42,2.95,False,True,241,23,False
2024-10-23,,Los Angeles Lakers,Minnesota Timberwolves,110,103,1.96,1.87,False,True,213,7,False
2024-10-24,,Los Angeles Clippers,Phoenix Suns,113,116,2.67,1.5,True,False,229,-3,False
2024-10-24,,Utah Jazz,Memphis Grizzlies,124,126,2.14,1.74,False,False,250,-2,False
2024-10-24,,Houston Rockets,Charlotte Hornets,105,110,1.3,3.63,False,False,215,-5,False
2024-10-24,,New Orleans Pelicans,Chicago Bulls,123,111,1.5,2.66,False,True,234,12,False
2024-10-24,,Portland Trail Blazers,Golden State Warriors,104,140,3.3,1.35,False,False,244,-36,False
2024-10-24,,Toronto Raptors,Cleveland Cavaliers,106,136,3.07,1.39,False,False,242,-30,False
2024-10-24,,Miami Heat,Orlando Magic,97,116,1.77,2.09,False,False,213,-19,False
2024-10-24,,Philadelphia 76ers,Milwaukee Bucks,109,124,2.49,1.55,False,False,233,-15,False
2024-10-24,,Detroit Pistons,Indiana Pacers,109,115,2.85,1.44,False,False,224,-6,False
2024-10-24,,Atlanta Hawks,Brooklyn Nets,120,116,1.35,3.3,False,True,236,4,False
2024-10-25,,Sacramento Kings,Minnesota Timberwolves,115,117,1.94,1.9,False,False,232,-2,False
2024-10-25,,Denver Nuggets,Oklahoma City Thunder,87,102,1.74,2.13,False,False,189,-15,False
2024-10-25,,Washington Wizards,Boston Celtics,102,122,7.99,1.09,False,False,224,-20,False
2024-10-25,,Dallas Mavericks,San Antonio Spurs,120,109,1.26,3.96,False,True,229,11,False
2024-10-26,,Orlando Magic,Brooklyn Nets,116,101,1.15,5.56,False,True,217,15,False
2024-10-26,,New York Knicks,Indiana Pacers,123,98,1.51,2.6,False,True,221,25,False
2024-10-26,,Toronto Raptors,Philadelphia 76ers,115,107,2.76,1.46,False,True,222,8,False
2024-10-26,,Cleveland Cavaliers,Detroit Pistons,113,101,1.18,5.07,False,True,214,12,False
2024-10-26,,Atlanta Hawks,Charlotte Hornets,125,120,1.44,2.85,False,True,245,5,False
2024-10-26,,Houston Rockets,Memphis Grizzlies,128,108,1.59,2.42,False,True,236,20,False
2024-10-26,,Los Angeles Lakers,Phoenix Suns,123,116,1.82,2.02,False,True,239,7,False
2024-10-26,,Milwaukee Bucks,Chicago Bulls,122,133,1.23,4.28,False,False,255,-11,False
2024-10-26,,Portland Trail Blazers,New Orleans Pelicans,103,105,3.11,1.38,False,False,208,-2,False
2024-10-26,,Utah Jazz,Golden State Warriors,86,127,3.09,1.39,False,False,213,-41,False
2024-10-27,,Minnesota Timberwolves,Toronto Raptors,112,101,1.09,7.78,False,True,213,11,False
2024-10-27,,Denver Nuggets,Los Angeles Clippers,104,109,1.31,3.65,False,False,213,-5,False
2024-10-27,,Washington Wizards,Cleveland Cavaliers,116,135,4.44,1.22,False,False,251,-19,False
2024-10-27,,Charlotte Hornets,Miami Heat,106,114,2.95,1.41,False,False,220,-8,False
2024-10-27,,Detroit Pistons,Boston Celtics,118,124,6.87,1.11,False,False,242,-6,False
2024-10-27,,Memphis Grizzlies,Orlando Magic,124,111,1.87,1.97,False,True,235,13,False
2024-10-27,,Chicago Bulls,Oklahoma City Thunder,95,114,4.19,1.24,False,False,209,-19,False
2024-10-27,,San Antonio Spurs,Houston Rockets,109,106,2.05,1.79,False,True,215,3,False
2024-10-27,,Los Angeles Lakers,Sacramento Kings,131,127,1.89,1.94,False,True,258,4,False
2024-10-27,,Phoenix Suns,Dallas Mavericks,114,102,2.37,1.61,False,True,216,12,False
2024-10-28,,Golden State Warriors,Los Angeles Clippers,104,112,1.25,4.06,False,False,216,-8,False
2024-10-28,,Oklahoma City Thunder,Atlanta Hawks,128,104,1.19,4.95,False,True,232,24,False
2024-10-28,,Portland Trail Blazers,New Orleans Pelicans,125,103,3.04,1.4,False,True,228,22,False
2024-10-28,,Indiana Pacers,Philadelphia 76ers,114,118,1.3,3.67,True,False,232,-4,False
2024-10-28,,Brooklyn Nets,Milwaukee Bucks,115,102,3.91,1.27,False,True,217,13,False
2024-10-29,,Miami Heat,Detroit Pistons,106,98,1.27,3.86,False,True,204,8,False
2024-10-29,,Atlanta Hawks,Washington Wizards,119,121,1.33,3.43,False,False,240,-2,False
2024-10-29,,Orlando Magic,Indiana Pacers,119,115,1.48,2.73,False,True,234,4,False
2024-10-29,,Toronto Raptors,Denver Nuggets,125,127,3.86,1.27,True,False,252,-2,False
2024-10-29,,Boston Celtics,Milwaukee Bucks,119,108,1.25,4.1,False,True,227,11,False
2024-10-29,,New York Knicks,Cleveland Cavaliers,104,110,1.69,2.22,False,False,214,-6,False
2024-10-29,,Memphis Grizzlies,Chicago Bulls,123,126,1.48,2.74,False,False,249,-3,False
2024-10-29,,Dallas Mavericks,Utah Jazz,110,102,1.14,6.07,False,True,212,8,False
2024-10-29,,Sacramento Kings,Portland Trail Blazers,111,98,1.12,6.53,False,True,209,13,False
2024-10-29,,Phoenix Suns,Los Angeles Lakers,109,105,1.54,2.54,False,True,214,4,False
2024-10-29,,San Antonio Spurs,Houston Rockets,101,106,2.2,1.7,False,False,207,-5,False
2024-10-30,,Golden State Warriors,New Orleans Pelicans,124,106,2.09,1.77,False,True,230,18,False
2024-10-30,,Minnesota Timberwolves,Dallas Mavericks,114,120,1.56,2.49,False,False,234,-6,False
2024-10-30,,Brooklyn Nets,Denver Nuggets,139,144,2.8,1.46,True,False,283,-5,False
2024-10-30,,Utah Jazz,Sacramento Kings,96,113,3.06,1.39,False,False,209,-17,False
2024-10-31,,Cleveland Cavaliers,Los Angeles Lakers,134,110,1.59,2.42,False,True,244,24,False
2024-10-31,,Indiana Pacers,Boston Celtics,135,132,3.19,1.36,True,True,267,3,False
2024-10-31,,Miami Heat,New York Knicks,107,116,2.04,1.8,False,False,223,-9,False
2024-10-31,,Philadelphia 76ers,Detroit Pistons,95,105,1.57,2.49,False,False,200,-10,False
2024-10-31,,Washington Wizards,Atlanta Hawks,133,120,2.72,1.48,False,True,253,13,False
2024-10-31,,Los Angeles Clippers,Portland Trail Blazers,105,106,1.29,3.7,False,False,211,-1,False
2024-10-31,,Chicago Bulls,Orlando Magic,102,99,2.85,1.44,False,True,201,3,False
2024-10-31,,Memphis Grizzlies,Brooklyn Nets,106,119,1.14,5.9,False,False,225,-13,False
2024-10-31,,Oklahoma City Thunder,San Antonio Spurs,105,93,1.13,6.42,False,True,198,12,False
2024-10-31,,Golden State Warriors,New Orleans Pelicans,104,89,1.62,2.35,False,True,193,15,False
2024-10-31,,Charlotte Hornets,Toronto Raptors,138,133,1.41,2.98,False,True,271,5,False
2024-11-01,,Los Angeles Clippers,Phoenix Suns,119,125,2.53,1.54,False,False,244,-6,False
2024-11-01,,Memphis Grizzlies,Milwaukee Bucks,122,99,2.98,1.41,False,True,221,23,False
2024-11-01,,Dallas Mavericks,Houston Rockets,102,108,1.38,3.13,False,False,210,-6,False
2024-11-01,,Utah Jazz,San Antonio Spurs,88,106,2.15,1.73,False,False,194,-18,False
2024-11-02,,Detroit Pistons,New York Knicks,98,128,3.12,1.38,False,False,226,-30,False
2024-11-02,,Portland Trail Blazers,Oklahoma City Thunder,114,137,5.47,1.16,False,False,251,-23,False
2024-11-02,,Minnesota Timberwolves,Denver Nuggets,119,116,1.59,2.42,False,True,235,3,False
2024-11-02,,New Orleans Pelicans,Indiana Pacers,125,118,2.53,1.54,False,True,243,7,False
2024-11-02,,Toronto Raptors,Los Angeles Lakers,125,131,4.09,1.25,False,False,256,-6,False
2024-11-02,,Brooklyn Nets,Chicago Bulls,120,112,1.84,2.0,False,True,232,8,False
2024-11-02,,Charlotte Hornets,Boston Celtics,109,124,4.97,1.19,False,False,233,-15,False
2024-11-02,,Cleveland Cavaliers,Orlando Magic,120,109,1.33,3.4,False,True,229,11,False
2024-11-02,,Atlanta Hawks,Sacramento Kings,115,123,2.93,1.42,False,False,238,-8,False
2024-11-03,,San Antonio Spurs,Minnesota Timberwolves,113,103,2.42,1.59,False,True,216,10,False
2024-11-03,,Charlotte Hornets,Boston Celtics,103,113,5.0,1.18,False,False,216,-10,False
2024-11-03,,Milwaukee Bucks,Cleveland Cavaliers,113,114,1.77,2.09,False,False,227,-1,False
