date,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff,season,home_r3_win_pct,home_r3_pts_scored,home_r3_pts_allowed,home_r3_point_diff,home_r3_cover_rate,home_r5_win_pct,home_r5_pts_scored,home_r5_pts_allowed,home_r5_point_diff,home_r5_cover_rate,home_r8_win_pct,home_r8_pts_scored,home_r8_pts_allowed,home_r8_point_diff,home_r8_cover_rate,home_r11_win_pct,home_r11_pts_scored,home_r11_pts_allowed,home_r11_point_diff,home_r11_cover_rate,home_home_rolling_win_pct,home_away_rolling_win_pct,home_games_last_7d,home_venue_streak,away_r3_win_pct,away_r3_pts_scored,away_r3_pts_allowed,away_r3_point_diff,away_r3_cover_rate,away_r5_win_pct,away_r5_pts_scored,away_r5_pts_allowed,away_r5_point_diff,away_r5_cover_rate,away_r8_win_pct,away_r8_pts_scored,away_r8_pts_allowed,away_r8_point_diff,away_r8_cover_rate,away_r11_win_pct,away_r11_pts_scored,away_r11_pts_allowed,away_r11_point_diff,away_r11_cover_rate,away_home_rolling_win_pct,away_away_rolling_win_pct,away_games_last_7d,away_venue_streak
2023-11-02,Toronto Raptors,Milwaukee Bucks,130,111,2.52,1.56,False,True,241,19,2023-2024,0.0,100.33333333333333,105.66666666666667,-5.333333333333333,0.0,,,,,,,,,,,,,,,,0.3333333333333333,,3,2,0.6666666666666666,116.66666666666667,119.33333333333333,-2.6666666666666665,0.6666666666666666,,,,,,,,,,,,,,,,0.5,,3,0
2023-11-02,Detroit Pistons,Portland Trail Blazers,101,110,1.63,2.33,False,False,211,-9,2023-2024,0.6666666666666666,113.66666666666667,108.33333333333333,5.333333333333333,0.0,,,,,,,,,,,,,,,,1.0,0.5,3,0,0.3333333333333333,98.0,106.33333333333333,-8.333333333333334,0.0,,,,,,,,,,,,,,,,,0.3333333333333333,3,2
2023-11-02,New York Knicks,Cleveland Cavaliers,89,95,1.46,2.79,False,False,184,-6,2023-2024,0.6666666666666666,107.33333333333333,102.33333333333333,5.0,0.6666666666666666,,,,,,,,,,,,,,,,0.0,0.5,3,0,0.0,103.0,114.0,-11.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,3,0
2023-11-02,Boston Celtics,Indiana Pacers,155,104,1.14,6.12,False,True,259,51,2023-2024,1.0,117.66666666666667,107.33333333333333,10.333333333333334,1.0,,,,,,,,,,,,,,,,1.0,1.0,2,0,0.6666666666666666,124.33333333333333,115.0,9.333333333333334,0.6666666666666666,,,,,,,,,,,,,,,,1.0,1.0,2,0
2023-11-03,Philadelphia 76ers,Toronto Raptors,114,99,1.33,3.4,False,True,213,15,2023-2024,0.6666666666666666,119.0,107.66666666666667,11.333333333333334,0.6666666666666666,,,,,,,,,,,,,,,,1.0,0.0,2,1,0.3333333333333333,109.33333333333333,108.0,1.3333333333333333,0.0,0.4,105.6,104.4,1.2,0.2,,,,,,,,,,,0.3333333333333333,0.0,4,0
2023-11-03,New Orleans Pelicans,Detroit Pistons,125,116,1.54,2.56,False,True,241,9,2023-2024,0.6666666666666666,102.66666666666667,107.66666666666667,-5.0,0.3333333333333333,,,,,,,,,,,,,,,,0.5,1.0,3,0,0.3333333333333333,110.33333333333333,112.0,-1.6666666666666667,0.0,0.4,108.8,107.6,1.2,0.0,,,,,,,,,,,1.0,0.3333333333333333,4,0
2023-11-03,Utah Jazz,Orlando Magic,113,115,2.05,1.81,False,False,228,-2,2023-2024,0.3333333333333333,113.0,115.0,-2.0,0.3333333333333333,0.4,114.6,118.6,-4.0,0.2,,,,,,,,,,,0.6666666666666666,0.0,4,1,0.3333333333333333,102.33333333333333,107.0,-4.666666666666667,0.3333333333333333,,,,,,,,,,,,,,,,,0.3333333333333333,3,3
2023-11-03,Phoenix Suns,San Antonio Spurs,121,132,1.19,4.9,False,False,253,-11,2023-2024,0.3333333333333333,111.66666666666667,106.33333333333333,5.333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,0.5,1.0,2,2,0.6666666666666666,108.0,119.66666666666667,-11.666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,0.0,0.5,3,2
2023-11-04,Oklahoma City Thunder,Golden State Warriors,139,141,2.99,1.41,False,False,280,-2,2023-2024,0.3333333333333333,108.33333333333333,116.66666666666667,-8.333333333333334,0.3333333333333333,0.6,111.4,111.8,-0.4,0.2,,,,,,,,,,,0.3333333333333333,1.0,3,3,1.0,112.66666666666667,99.33333333333333,13.333333333333334,0.6666666666666666,0.8,112.8,104.0,8.8,0.4,,,,,,,,,,,0.0,1.0,3,0
2023-11-04,Milwaukee Bucks,New York Knicks,110,105,1.48,2.76,False,True,215,5,2023-2024,0.3333333333333333,114.33333333333333,123.66666666666667,-9.333333333333334,0.3333333333333333,,,,,,,,,,,,,,,,0.6666666666666666,,3,0,0.3333333333333333,95.0,94.0,1.0,0.3333333333333333,0.4,103.0,102.0,1.0,0.4,,,,,,,,,,,0.0,0.6666666666666666,3,0
